"values","time"
-30.5,1999.25
-30.6,1999.33333333333
-30.4,1999.41666666667
-40.6,1999.5
-40.5,1999.58333333333
-40.3,1999.66666666667
-37.2,1999.75
-37,1999.83333333333
-37.1,1999.91666666667
-32.4,2000
-32.3,2000.08333333333
-32.1,2000.16666666667
-36.5,2000.25
-30.5,2000.33333333333
-30.3,2000.41666666667
-29.4,2000.5
-25.5,2000.58333333333
-27.3,2000.66666666667
-24,2000.75
-27.6,2000.83333333333
-36.3,2000.91666666667
-29.5,2001
-33.1,2001.08333333333
-35.8,2001.16666666667
-30.4,2001.25
-29.5,2001.33333333333
-30.4,2001.41666666667
-27.1,2001.5
-28.9,2001.58333333333
-24.1,2001.66666666667
-25.1,2001.75
-21.8,2001.83333333333
-22.5,2001.91666666667
-20.9,2002
-21.2,2002.08333333333
-20.7,2002.16666666667
-21.5,2002.25
-21.8,2002.33333333333
-23.8,2002.41666666667
-24,2002.5
-22.5,2002.58333333333
-20.3,2002.66666666667
-21.8,2002.75
-36.6,2002.83333333333
-35.8,2002.91666666667
-35.1,2003
-33.7,2003.08333333333
-36,2003.16666666667
-33.5,2003.25
-29.1,2003.33333333333
-34.4,2003.41666666667
-33,2003.5
-35.6,2003.58333333333
-32.3,2003.66666666667
-31.1,2003.75
-36.5,2003.83333333333
-38.4,2003.91666666667
-34.6,2004
-37.2,2004.08333333333
-32.1,2004.16666666667
-30,2004.25
-27.5,2004.33333333333
-23.8,2004.41666666667
-23.7,2004.5
-23.7,2004.58333333333
-24.7,2004.66666666667
-21.7,2004.75
-19.5,2004.83333333333
-17.9,2004.91666666667
-17.7,2005
-16.9,2005.08333333333
-15.3,2005.16666666667
-12.4,2005.25
-13,2005.33333333333
-11.6,2005.41666666667
-14.3,2005.5
-16.1,2005.58333333333
-23.1,2005.66666666667
-18.4,2005.75
-17.3,2005.83333333333
-17.5,2005.91666666667
-17.3,2006
-18.6,2006.08333333333
-14.4,2006.16666666667
-14.6,2006.25
-14.4,2006.33333333333
-12.4,2006.41666666667
-9.8,2006.5
-9.8,2006.58333333333
-7.5,2006.66666666667
-7,2006.75
-5.4,2006.83333333333
1.5,2006.91666666667
0.8,2007
-0.6,2007.08333333333
-0.9,2007.16666666667
2.6,2007.25
-1.3,2007.33333333333
-1.6,2007.41666666667
0.7,2007.5
-4,2007.58333333333
-5.2,2007.66666666667
-7.5,2007.75
-10,2007.83333333333
-7.5,2007.91666666667
-6.5,2008
-12.6,2008.08333333333
-10,2008.16666666667
-10.1,2008.25
-14.5,2008.33333333333
-9.9,2008.41666666667
-11.4,2008.5
-11.9,2008.58333333333
-10.9,2008.66666666667
-11,2008.75
-18.4,2008.83333333333
-19.2,2008.91666666667
-20.9,2009
-33.7,2009.08333333333
-35.2,2009.16666666667
-35.4,2009.25
-29.4,2009.33333333333
-27.5,2009.41666666667
-27.2,2009.5
-27,2009.58333333333
-22,2009.66666666667
-24.2,2009.75
-27.3,2009.83333333333
-21.8,2009.91666666667
-20.7,2010
-18.8,2010.08333333333
-17.9,2010.16666666667
-17.3,2010.25
-19.4,2010.33333333333
-18.5,2010.41666666667
-17.6,2010.5
-20.9,2010.58333333333
-21.8,2010.66666666667
-26.8,2010.75
-21.4,2010.83333333333
-24.2,2010.91666666667
-26.2,2011
-26,2011.08333333333
-30.2,2011.16666666667
-29.5,2011.25
-25.9,2011.33333333333
-25.9,2011.41666666667
-25.6,2011.5
-23.5,2011.58333333333
-25.9,2011.66666666667
