"values","time"
97.2,2002.08333333333
100.7,2002.16666666667
98.7,2002.25
98.9,2002.33333333333
100.3,2002.41666666667
98.7,2002.5
96.8,2002.58333333333
97.3,2002.66666666667
101.6,2002.75
99.6,2002.83333333333
103.3,2002.91666666667
96.9,2003
97.5,2003.08333333333
97.5,2003.16666666667
93.7,2003.25
96.7,2003.33333333333
94.7,2003.41666666667
98.6,2003.5
93.8,2003.58333333333
90.6,2003.66666666667
95,2003.75
98.3,2003.83333333333
95.2,2003.91666666667
94.6,2004
98,2004.08333333333
96.4,2004.16666666667
99.2,2004.25
99.4,2004.33333333333
99.2,2004.41666666667
95.6,2004.5
98.1,2004.58333333333
98.2,2004.66666666667
94.6,2004.75
93.2,2004.83333333333
93.9,2004.91666666667
93.5,2005
93.1,2005.08333333333
91.5,2005.16666666667
90.1,2005.25
89.4,2005.33333333333
88.6,2005.41666666667
90.9,2005.5
92.3,2005.58333333333
93.8,2005.66666666667
91.5,2005.75
96.8,2005.83333333333
95.4,2005.91666666667
93.2,2006
95,2006.08333333333
92.7,2006.16666666667
100.8,2006.25
98.2,2006.33333333333
95.1,2006.41666666667
90.8,2006.5
86.6,2006.58333333333
85.6,2006.66666666667
90.7,2006.75
93.3,2006.83333333333
90.6,2006.91666666667
97.9,2007
94.4,2007.08333333333
98,2007.16666666667
99.7,2007.25
94.4,2007.33333333333
97.4,2007.41666666667
95.7,2007.5
92.6,2007.58333333333
93.6,2007.66666666667
89.7,2007.75
92.1,2007.83333333333
91,2007.91666666667
95.3,2008
98.1,2008.08333333333
94.6,2008.16666666667
95.2,2008.25
95.2,2008.33333333333
94,2008.41666666667
95.5,2008.5
97,2008.58333333333
99.2,2008.66666666667
91.5,2008.75
76.8,2008.83333333333
71.9,2008.91666666667
75,2009
69.5,2009.08333333333
68.9,2009.16666666667
72.7,2009.25
79.3,2009.33333333333
80.4,2009.41666666667
83,2009.5
85,2009.58333333333
89.8,2009.66666666667
89.8,2009.75
87.9,2009.83333333333
88,2009.91666666667
88.6,2010
91.2,2010.08333333333
90.7,2010.16666666667
91.6,2010.25
91.1,2010.33333333333
93,2010.41666666667
94.9,2010.5
102.5,2010.58333333333
100.8,2010.66666666667
99.9,2010.75
94.2,2010.83333333333
94.6,2010.91666666667
98.6,2011
101.6,2011.08333333333
98.2,2011.16666666667
100.4,2011.25
98.5,2011.33333333333
95.5,2011.41666666667
97.3,2011.5
91.8,2011.58333333333
93,2011.66666666667
86.8,2011.75
86.3,2011.83333333333
84.6,2011.91666666667
82.3,2012
91.6,2012.08333333333
92.8,2012.16666666667
91,2012.25
90.9,2012.33333333333
90.2,2012.41666666667
92,2012.5
92.6,2012.58333333333
92.6,2012.66666666667
92,2012.75
94.5,2012.83333333333
94.7,2012.91666666667
90.9,2013
93.5,2013.08333333333
95.6,2013.16666666667
84.1,2013.25
95,2013.33333333333
97.5,2013.41666666667
99.5,2013.5
101.6,2013.58333333333
101.4,2013.66666666667
104.2,2013.75
101.7,2013.83333333333
106.1,2013.91666666667
107.5,2014
106.3,2014.08333333333
110.4,2014.16666666667
109.9,2014.25
106.1,2014.33333333333
107,2014.41666666667
102.9,2014.5
108.5,2014.58333333333
108,2014.66666666667
112.4,2014.75
110.2,2014.83333333333
109,2014.91666666667
106.2,2015
106.2,2015.08333333333
109.3,2015.16666666667
109.4,2015.25
109.3,2015.33333333333
108.1,2015.41666666667
108.2,2015.5
112.9,2015.58333333333
108.6,2015.66666666667
111.9,2015.75
111.7,2015.83333333333
111.5,2015.91666666667
112.5,2016
112.6,2016.08333333333
111.6,2016.16666666667
108.6,2016.25
110.6,2016.33333333333
110.6,2016.41666666667
109.8,2016.5
107.9,2016.58333333333
111.2,2016.66666666667
109.7,2016.75
110.2,2016.83333333333
111.3,2016.91666666667
109.4,2017
107.9,2017.08333333333
114.5,2017.16666666667
110.7,2017.25
112.9,2017.33333333333
114.6,2017.41666666667
113.3,2017.5
113.9,2017.58333333333
116.7,2017.66666666667
115.6,2017.75
113.8,2017.83333333333
115.8,2017.91666666667
118.5,2018
115,2018.08333333333
114.7,2018.16666666667
116,2018.25
113.5,2018.33333333333
115.4,2018.41666666667
114.2,2018.5
112.2,2018.58333333333
113.5,2018.66666666667
114.2,2018.75
116.4,2018.83333333333
118.8,2018.91666666667
116.8,2019
113.5,2019.08333333333
112.6,2019.16666666667
108.2,2019.25
112.7,2019.33333333333
107.3,2019.41666666667
109.2,2019.5
110.5,2019.58333333333
106.8,2019.66666666667
108.6,2019.75
112.3,2019.83333333333
111.4,2019.91666666667
108.2,2020
108.1,2020.08333333333
105.4,2020.16666666667
81.8,2020.25
92.5,2020.33333333333
102.1,2020.41666666667
104.8,2020.5
101.3,2020.58333333333
100.9,2020.66666666667
105.1,2020.75
96,2020.83333333333
104.6,2020.91666666667
108,2021
105.4,2021.08333333333
102.8,2021.16666666667
106,2021.25
110.9,2021.33333333333
109.8,2021.41666666667
109,2021.5
112.3,2021.58333333333
113.5,2021.66666666667
114.4,2021.75
111.1,2021.83333333333
111,2021.91666666667
112.2,2022
112.3,2022.08333333333
108.1,2022.16666666667
110.4,2022.25
107.2,2022.33333333333
106.8,2022.41666666667
109.9,2022.5
104.4,2022.58333333333
103.9,2022.66666666667
99.3,2022.75
