"values","time"
100.3,2002
94.9,2002.08333333333
102.2,2002.16666666667
104,2002.25
103.1,2002.33333333333
102.6,2002.41666666667
103.7,2002.5
93.9,2002.58333333333
99.1,2002.66666666667
97.1,2002.75
96.1,2002.83333333333
101.3,2002.91666666667
94.8,2003
96.2,2003.08333333333
101.3,2003.16666666667
97.2,2003.25
92,2003.33333333333
90.5,2003.41666666667
90.5,2003.5
83.8,2003.58333333333
83.9,2003.66666666667
87.9,2003.75
85,2003.83333333333
84.4,2003.91666666667
76,2004
78,2004.08333333333
83.4,2004.16666666667
84.5,2004.25
85.2,2004.33333333333
82.3,2004.41666666667
85.3,2004.5
84.7,2004.58333333333
83.7,2004.66666666667
84.8,2004.75
83,2004.83333333333
72.8,2004.91666666667
90.5,2005
87.5,2005.08333333333
89.4,2005.16666666667
86.1,2005.25
89.3,2005.33333333333
87.1,2005.41666666667
87.9,2005.5
86.2,2005.58333333333
88.1,2005.66666666667
88.9,2005.75
90.3,2005.83333333333
88.9,2005.91666666667
88.7,2006
92.2,2006.08333333333
91.6,2006.16666666667
98.5,2006.25
99.5,2006.33333333333
96.2,2006.41666666667
96.9,2006.5
97.6,2006.58333333333
93.5,2006.66666666667
99.8,2006.75
100.5,2006.83333333333
98.3,2006.91666666667
103.9,2007
105.8,2007.08333333333
104.3,2007.16666666667
104.4,2007.25
100.4,2007.33333333333
102.2,2007.41666666667
100.7,2007.5
102.9,2007.58333333333
105.5,2007.66666666667
106.6,2007.75
107.2,2007.83333333333
106.2,2007.91666666667
104.1,2008
109.2,2008.08333333333
107.2,2008.16666666667
107.1,2008.25
109.3,2008.33333333333
107.4,2008.41666666667
104.9,2008.5
104.4,2008.58333333333
103.5,2008.66666666667
107.5,2008.75
93.4,2008.83333333333
91.3,2008.91666666667
88.1,2009
80.4,2009.08333333333
76.9,2009.16666666667
71.7,2009.25
78.5,2009.33333333333
75,2009.41666666667
77.8,2009.5
82.9,2009.58333333333
87.1,2009.66666666667
88.4,2009.75
84.9,2009.83333333333
86.4,2009.91666666667
87,2010
93,2010.08333333333
101.6,2010.16666666667
102.3,2010.25
98.8,2010.33333333333
99,2010.41666666667
102,2010.5
101.5,2010.58333333333
103.5,2010.66666666667
105.4,2010.75
105.1,2010.83333333333
103.4,2010.91666666667
103.5,2011
104.9,2011.08333333333
103.7,2011.16666666667
105.3,2011.25
107.7,2011.33333333333
106.3,2011.41666666667
105.9,2011.5
109,2011.58333333333
105.3,2011.66666666667
108,2011.75
106.7,2011.83333333333
105.8,2011.91666666667
104.1,2012
106,2012.08333333333
104.5,2012.16666666667
102.7,2012.25
104.6,2012.33333333333
97.4,2012.41666666667
97.8,2012.5
100,2012.58333333333
99.4,2012.66666666667
95.2,2012.75
96.6,2012.83333333333
94.2,2012.91666666667
97,2013
97,2013.08333333333
97.7,2013.16666666667
97.9,2013.25
99.1,2013.33333333333
93.9,2013.41666666667
92.5,2013.5
97.8,2013.58333333333
100.3,2013.66666666667
100.8,2013.75
99.3,2013.83333333333
99.3,2013.91666666667
99.2,2014
99,2014.08333333333
103.3,2014.16666666667
102.1,2014.25
100.3,2014.33333333333
100,2014.41666666667
100.2,2014.5
105,2014.58333333333
100.4,2014.66666666667
99.8,2014.75
100.9,2014.83333333333
100.1,2014.91666666667
104.9,2015
103.9,2015.08333333333
104.7,2015.16666666667
102,2015.25
109.7,2015.33333333333
106.4,2015.41666666667
111.3,2015.5
103.2,2015.58333333333
104.6,2015.66666666667
113,2015.75
108.9,2015.83333333333
109.8,2015.91666666667
107.3,2016
110.3,2016.08333333333
109.5,2016.16666666667
108.6,2016.25
106.1,2016.33333333333
112.7,2016.41666666667
111.2,2016.5
110.8,2016.58333333333
113.2,2016.66666666667
114.9,2016.75
110.6,2016.83333333333
112,2016.91666666667
111.3,2017
112.7,2017.08333333333
114.2,2017.16666666667
115.6,2017.25
111.8,2017.33333333333
112.7,2017.41666666667
115.1,2017.5
115.4,2017.58333333333
117.6,2017.66666666667
117.6,2017.75
121.7,2017.83333333333
116.1,2017.91666666667
109.9,2018
113.2,2018.08333333333
112.8,2018.16666666667
112.3,2018.25
118,2018.33333333333
117.8,2018.41666666667
116.4,2018.5
114.6,2018.58333333333
116.2,2018.66666666667
112,2018.75
106.3,2018.83333333333
109.4,2018.91666666667
103.4,2019
102.4,2019.08333333333
105.2,2019.16666666667
103.2,2019.25
101.7,2019.33333333333
98.1,2019.41666666667
99.6,2019.5
103.4,2019.58333333333
101.8,2019.66666666667
105.6,2019.75
108.6,2019.83333333333
104.2,2019.91666666667
111.6,2020
112.6,2020.08333333333
108.3,2020.16666666667
80.3,2020.25
81.4,2020.33333333333
84.3,2020.41666666667
87.6,2020.5
93.9,2020.58333333333
94.5,2020.66666666667
92.8,2020.75
95.2,2020.83333333333
100,2020.91666666667
95.7,2021
90.5,2021.08333333333
94.4,2021.16666666667
97.4,2021.25
108.6,2021.33333333333
108.2,2021.41666666667
108.8,2021.5
109.4,2021.58333333333
111.1,2021.66666666667
107.4,2021.75
107.6,2021.83333333333
110.3,2021.91666666667
112.2,2022
111,2022.08333333333
108.1,2022.16666666667
108.9,2022.25
109.1,2022.33333333333
110.4,2022.41666666667
110.9,2022.5
107.4,2022.58333333333
105.2,2022.66666666667
105.1,2022.75
