"values","time"
1.2,2003.08333333333
-2.2,2003.16666666667
0.3,2003.25
-0.4,2003.33333333333
-2.9,2003.41666666667
-1,2003.5
-0.9,2003.58333333333
3.1,2003.66666666667
-2.9,2003.75
-2.3,2003.83333333333
-4.1,2003.91666666667
0,2004
-3.3,2004.08333333333
-5.4,2004.16666666667
-1.4,2004.25
-1.8,2004.33333333333
-1.6,2004.41666666667
1.6,2004.5
-1,2004.58333333333
-5.4,2004.66666666667
-2.5,2004.75
1.5,2004.83333333333
1.7,2004.91666666667
4,2005
2.4,2005.08333333333
0.4,2005.16666666667
3.4,2005.25
3.6,2005.33333333333
4.3,2005.41666666667
2.6,2005.5
0.1,2005.58333333333
-0.4,2005.66666666667
2.5,2005.75
1.9,2005.83333333333
2.5,2005.91666666667
2.2,2006
4.1,2006.08333333333
5.7,2006.16666666667
2.6,2006.25
2.9,2006.33333333333
3.8,2006.41666666667
2,2006.5
5.9,2006.58333333333
7.9,2006.66666666667
8.8,2006.75
8.7,2006.83333333333
12.1,2006.91666666667
11.6,2007
7.6,2007.08333333333
9.4,2007.16666666667
16.6,2007.25
7.3,2007.33333333333
10.9,2007.41666666667
11,2007.5
11.2,2007.58333333333
10.6,2007.66666666667
8.1,2007.75
8.9,2007.83333333333
11.3,2007.91666666667
13.9,2008
12.4,2008.08333333333
10.2,2008.16666666667
9.3,2008.25
9.2,2008.33333333333
10.8,2008.41666666667
11.3,2008.5
11.3,2008.58333333333
12.3,2008.66666666667
11.5,2008.75
11.2,2008.83333333333
12.9,2008.91666666667
10,2009
10.6,2009.08333333333
7.4,2009.16666666667
5.5,2009.25
7.5,2009.33333333333
6.7,2009.41666666667
5.8,2009.5
6.2,2009.58333333333
5.8,2009.66666666667
5.4,2009.75
3.8,2009.83333333333
3.2,2009.91666666667
4.5,2010
7.7,2010.08333333333
7.4,2010.16666666667
6.3,2010.25
4.8,2010.33333333333
8,2010.41666666667
4.8,2010.5
3.9,2010.58333333333
6.3,2010.66666666667
7.9,2010.75
6.6,2010.83333333333
8.4,2010.91666666667
4.9,2011
5.1,2011.08333333333
3.6,2011.16666666667
2.9,2011.25
6.5,2011.33333333333
5.8,2011.41666666667
3.8,2011.5
5.1,2011.58333333333
5.7,2011.66666666667
3.2,2011.75
4.6,2011.83333333333
0.7,2011.91666666667
4,2012
2,2012.08333333333
3.2,2012.16666666667
8.1,2012.25
5,2012.33333333333
5,2012.41666666667
6.5,2012.5
-0.6,2012.58333333333
-1,2012.66666666667
2.7,2012.75
4.3,2012.83333333333
2.4,2012.91666666667
1.4,2013
2.5,2013.08333333333
5,2013.16666666667
1.8,2013.25
1.6,2013.33333333333
2.1,2013.41666666667
7.5,2013.5
1,2013.58333333333
5.9,2013.66666666667
2.3,2013.75
4.9,2013.83333333333
5.3,2013.91666666667
4.9,2014
2.8,2014.08333333333
6.5,2014.16666666667
5.3,2014.25
8.6,2014.33333333333
7.6,2014.41666666667
7.1,2014.5
8.6,2014.58333333333
6.3,2014.66666666667
6.9,2014.75
7.5,2014.83333333333
8.6,2014.91666666667
6,2015
8.6,2015.08333333333
6.8,2015.16666666667
7.5,2015.25
7.8,2015.33333333333
10.7,2015.41666666667
9.4,2015.5
10.8,2015.58333333333
10.2,2015.66666666667
10.6,2015.75
8.3,2015.83333333333
7.9,2015.91666666667
10,2016
11.4,2016.08333333333
10.2,2016.16666666667
12.3,2016.25
13,2016.33333333333
11.2,2016.41666666667
12.4,2016.5
11.2,2016.58333333333
13,2016.66666666667
13.4,2016.75
10.1,2016.83333333333
12.6,2016.91666666667
11.8,2017
11.3,2017.08333333333
12.7,2017.16666666667
13.1,2017.25
13.4,2017.33333333333
12.8,2017.41666666667
12.7,2017.5
11.8,2017.58333333333
13.6,2017.66666666667
12,2017.75
13.9,2017.83333333333
13.4,2017.91666666667
12,2018
13,2018.08333333333
12.8,2018.16666666667
10,2018.25
14.9,2018.33333333333
14.2,2018.41666666667
13.7,2018.5
16.6,2018.58333333333
13.6,2018.66666666667
14.9,2018.75
15.2,2018.83333333333
16.5,2018.91666666667
12.8,2019
15.3,2019.08333333333
17.4,2019.16666666667
17.8,2019.25
15.7,2019.33333333333
15.8,2019.41666666667
16.2,2019.5
15.8,2019.58333333333
14.9,2019.66666666667
16.4,2019.75
15.2,2019.83333333333
14.9,2019.91666666667
16.2,2020
16.2,2020.08333333333
17.7,2020.16666666667
13.8,2020.25
12.1,2020.33333333333
11,2020.41666666667
14.1,2020.5
14.4,2020.58333333333
13.1,2020.66666666667
13.9,2020.75
12.4,2020.83333333333
15,2020.91666666667
10.8,2021
9.4,2021.08333333333
12.4,2021.16666666667
14.7,2021.25
13.3,2021.33333333333
13.8,2021.41666666667
12.5,2021.5
15.3,2021.58333333333
15.1,2021.66666666667
14.4,2021.75
15.3,2021.83333333333
13.4,2021.91666666667
13.2,2022
13,2022.08333333333
14.4,2022.16666666667
13,2022.25
10.7,2022.33333333333
9.9,2022.41666666667
9.7,2022.5
11.6,2022.58333333333
9.3,2022.66666666667
7.2,2022.75
