"values","time"
43.01,1996
43.12,1996.08333333333
43.22,1996.16666666667
43.35,1996.25
43.56,1996.33333333333
43.63,1996.41666666667
43.75,1996.5
43.99,1996.58333333333
44.41,1996.66666666667
44.7,1996.75
44.88,1996.83333333333
45.01,1996.91666666667
45.48,1997
45.7,1997.08333333333
45.95,1997.16666666667
46.12,1997.25
46.14,1997.33333333333
46.29,1997.41666666667
46.32,1997.5
46.8,1997.58333333333
46.87,1997.66666666667
47.26,1997.75
47.56,1997.83333333333
47.81,1997.91666666667
48.72,1998
49.07,1998.08333333333
49.19,1998.16666666667
49.38,1998.25
49.68,1998.33333333333
49.74,1998.41666666667
49.55,1998.5
49.43,1998.58333333333
49.64,1998.66666666667
50.23,1998.75
50.45,1998.83333333333
50.55,1998.91666666667
52.03,1999
52.43,1999.08333333333
52.57,1999.16666666667
52.82,1999.25
52.89,1999.33333333333
53.16,1999.41666666667
56.27,1999.5
56.53,1999.58333333333
56.89,1999.66666666667
57.19,1999.75
57.41,1999.83333333333
57.66,1999.91666666667
59.14,2000
61.17,2000.08333333333
61.4,2000.16666666667
61.36,2000.25
61.53,2000.33333333333
61.49,2000.41666666667
61.48,2000.5
61.53,2000.58333333333
61.91,2000.66666666667
62.15,2000.75
62.37,2000.83333333333
62.51,2000.91666666667
63.57,2001
65.05,2001.08333333333
65.45,2001.16666666667
65.73,2001.25
66.05,2001.33333333333
66.13,2001.41666666667
66.38,2001.5
66.26,2001.58333333333
66.45,2001.66666666667
66.45,2001.75
66.61,2001.83333333333
66.7,2001.91666666667
67.68,2002
67.89,2002.08333333333
67.91,2002.16666666667
68.16,2002.25
68.23,2002.33333333333
67.97,2002.41666666667
67.82,2002.5
68.25,2002.58333333333
68.53,2002.66666666667
68.62,2002.75
68.62,2002.83333333333
68.85,2002.91666666667
72.5,2003
72.91,2003.08333333333
73.36,2003.16666666667
73.4,2003.25
73.44,2003.33333333333
73.62,2003.41666666667
73.59,2003.5
74.4,2003.58333333333
74.88,2003.66666666667
75.02,2003.75
75.15,2003.83333333333
75.29,2003.91666666667
78.52,2004
79.04,2004.08333333333
79.22,2004.16666666667
79.22,2004.25
79.49,2004.33333333333
79.64,2004.41666666667
79.78,2004.5
79.69,2004.58333333333
79.81,2004.66666666667
79.94,2004.75
79.82,2004.83333333333
79.72,2004.91666666667
81.05,2005
81.16,2005.08333333333
81.13,2005.16666666667
81.31,2005.25
81.41,2005.33333333333
81.73,2005.41666666667
81.47,2005.5
81.39,2005.58333333333
81.62,2005.66666666667
82.72,2005.75
82.73,2005.83333333333
82.77,2005.91666666667
84.35,2006
84.62,2006.08333333333
84.63,2006.16666666667
84.89,2006.25
85.31,2006.33333333333
85.43,2006.41666666667
85.53,2006.5
85.44,2006.58333333333
85.27,2006.66666666667
85.29,2006.75
85.74,2006.83333333333
85.8,2006.91666666667
86.23,2007
86.31,2007.08333333333
86.36,2007.16666666667
86.6,2007.25
86.62,2007.33333333333
86.68,2007.41666666667
86.58,2007.5
86.5,2007.58333333333
86.75,2007.66666666667
87.35,2007.75
87.7,2007.83333333333
87.94,2007.91666666667
88.97,2008
89.23,2008.08333333333
89.49,2008.16666666667
89.76,2008.25
90.1,2008.33333333333
90.42,2008.41666666667
90.41,2008.5
90.35,2008.58333333333
90.7,2008.66666666667
91.01,2008.75
91.12,2008.83333333333
91.06,2008.91666666667
91.38,2009
91.36,2009.08333333333
91.11,2009.16666666667
91.01,2009.25
91.07,2009.33333333333
91.08,2009.41666666667
90.97,2009.5
90.78,2009.58333333333
90.74,2009.66666666667
90.89,2009.75
91.15,2009.83333333333
91.1,2009.91666666667
91.21,2010
91.22,2010.08333333333
91.34,2010.16666666667
91.67,2010.25
91.73,2010.33333333333
91.72,2010.41666666667
91.84,2010.5
91.74,2010.58333333333
91.73,2010.66666666667
91.76,2010.75
92.02,2010.83333333333
92.25,2010.91666666667
94.16,2011
94.42,2011.08333333333
94.8,2011.16666666667
95.25,2011.25
95.56,2011.33333333333
95.51,2011.41666666667
95.35,2011.5
95.47,2011.58333333333
95.74,2011.66666666667
95.95,2011.75
96.44,2011.83333333333
96.48,2011.91666666667
97.97,2012
98.19,2012.08333333333
98.5,2012.16666666667
98.74,2012.25
98.84,2012.33333333333
99.07,2012.41666666667
99.01,2012.5
99.06,2012.58333333333
99.34,2012.66666666667
99.73,2012.75
99.8,2012.83333333333
