"values","time"
1153,2008
995,2008.08333333333
724,2008.16666666667
736,2008.25
431,2008.33333333333
466,2008.41666666667
559,2008.5
494,2008.58333333333
812,2008.66666666667
1069,2008.75
594,2008.83333333333
499,2008.91666666667
904,2009
688,2009.08333333333
773,2009.16666666667
277,2009.25
394,2009.33333333333
403,2009.41666666667
802,2009.5
627,2009.58333333333
948,2009.66666666667
932,2009.75
742,2009.83333333333
846,2009.91666666667
518,2010
617,2010.08333333333
590,2010.16666666667
580,2010.25
398,2010.33333333333
322,2010.41666666667
987,2010.5
478,2010.58333333333
547,2010.66666666667
807,2010.75
506,2010.83333333333
307,2010.91666666667
319,2011
627,2011.08333333333
702,2011.16666666667
596,2011.25
603,2011.33333333333
544,2011.41666666667
998,2011.5
1142,2011.58333333333
983,2011.66666666667
1299,2011.75
1452,2011.83333333333
1595,2011.91666666667
1438,2012
1369,2012.08333333333
1074,2012.16666666667
1106,2012.25
854,2012.33333333333
1016,2012.41666666667
1283,2012.5
1219,2012.58333333333
970,2012.66666666667
1090,2012.75
1039,2012.83333333333
964,2012.91666666667
869,2013
786,2013.08333333333
757,2013.16666666667
594,2013.25
429,2013.33333333333
508,2013.41666666667
1113,2013.5
955,2013.58333333333
901,2013.66666666667
1280,2013.75
1040,2013.83333333333
1441,2013.91666666667
1258,2014
990,2014.08333333333
1151,2014.16666666667
1395,2014.25
786,2014.33333333333
1251,2014.41666666667
1135,2014.5
754,2014.58333333333
828,2014.66666666667
1143,2014.75
1054,2014.83333333333
1182,2014.91666666667
1295,2015
1223,2015.08333333333
1230,2015.16666666667
958,2015.25
742,2015.33333333333
1133,2015.41666666667
1566,2015.5
1225,2015.58333333333
1298,2015.66666666667
1341,2015.75
1336,2015.83333333333
1609,2015.91666666667
1695,2016
1007,2016.08333333333
1060,2016.16666666667
1352,2016.25
1383,2016.33333333333
1084,2016.41666666667
910,2016.5
638,2016.58333333333
856,2016.66666666667
1133,2016.75
863,2016.83333333333
1268,2016.91666666667
1724,2017
1502,2017.08333333333
1212,2017.16666666667
1461,2017.25
1371,2017.33333333333
1276,2017.41666666667
1121,2017.5
1107,2017.58333333333
1008,2017.66666666667
1304,2017.75
1344,2017.83333333333
1133,2017.91666666667
939,2018
756,2018.08333333333
829,2018.16666666667
516,2018.25
1068,2018.33333333333
1106,2018.41666666667
936,2018.5
1153,2018.58333333333
1083,2018.66666666667
1394,2018.75
1126,2018.83333333333
1521,2018.91666666667
1600,2019
1142,2019.08333333333
990,2019.16666666667
1072,2019.25
981,2019.33333333333
898,2019.41666666667
1050,2019.5
1039,2019.58333333333
1333,2019.66666666667
1416,2019.75
793,2019.83333333333
1222,2019.91666666667
