"values" "time"
311 1995
305 1995.08333333333
301 1995.16666666667
298 1995.25
296 1995.33333333333
293 1995.41666666667
289 1995.5
287 1995.58333333333
285 1995.66666666667
282 1995.75
280 1995.83333333333
276 1995.91666666667
273 1996
273 1996.08333333333
272 1996.16666666667
270 1996.25
268 1996.33333333333
268 1996.41666666667
268 1996.5
268 1996.58333333333
268 1996.66666666667
268 1996.75
268 1996.83333333333
269 1996.91666666667
271 1997
274 1997.08333333333
275 1997.16666666667
277 1997.25
278 1997.33333333333
276 1997.41666666667
275 1997.5
279 1997.58333333333
284 1997.66666666667
288 1997.75
287 1997.83333333333
285 1997.91666666667
298 1998
302 1998.08333333333
303 1998.16666666667
304 1998.25
305 1998.33333333333
311 1998.41666666667
320 1998.5
323 1998.58333333333
328 1998.66666666667
326 1998.75
329 1998.83333333333
340 1998.91666666667
356 1999
371 1999.08333333333
386 1999.16666666667
393 1999.25
402 1999.33333333333
414 1999.41666666667
420 1999.5
428 1999.58333333333
435 1999.66666666667
446 1999.75
458 1999.83333333333
464 1999.91666666667
464 2000
471 2000.08333333333
476 2000.16666666667
480 2000.25
490 2000.33333333333
495 2000.41666666667
505 2000.5
472 2000.58333333333
473 2000.66666666667
479 2000.75
487 2000.83333333333
491 2000.91666666667
500 2001
498 2001.08333333333
500 2001.16666666667
507 2001.25
506 2001.33333333333
506 2001.41666666667
504 2001.5
506 2001.58333333333
507 2001.66666666667
510 2001.75
507 2001.83333333333
499 2001.91666666667
493 2002
489 2002.08333333333
485 2002.16666666667
485 2002.25
488 2002.33333333333
485 2002.41666666667
484 2002.5
483 2002.58333333333
481 2002.66666666667
482 2002.75
481 2002.83333333333
478 2002.91666666667
469 2003
463 2003.08333333333
458 2003.16666666667
451 2003.25
448 2003.33333333333
448 2003.41666666667
451 2003.5
457 2003.58333333333
452 2003.66666666667
456 2003.75
463 2003.83333333333
478 2003.91666666667
486 2004
492 2004.08333333333
494 2004.16666666667
497 2004.25
492 2004.33333333333
483 2004.41666666667
476 2004.5
472 2004.58333333333
470 2004.66666666667
467 2004.75
463 2004.83333333333
459 2004.91666666667
451 2005
445 2005.08333333333
442 2005.16666666667
435 2005.25
431 2005.33333333333
425 2005.41666666667
418 2005.5
417 2005.58333333333
421 2005.66666666667
419 2005.75
412 2005.83333333333
405 2005.91666666667
394 2006
384 2006.08333333333
375 2006.16666666667
369 2006.25
360 2006.33333333333
352 2006.41666666667
347 2006.5
342 2006.58333333333
335 2006.66666666667
330 2006.75
324 2006.83333333333
315 2006.91666666667
306 2007
298 2007.08333333333
293 2007.16666666667
293 2007.25
294 2007.33333333333
297 2007.41666666667
301 2007.5
302 2007.58333333333
297 2007.66666666667
287 2007.75
280 2007.83333333333
277 2007.91666666667
275 2008
271 2008.08333333333
268 2008.16666666667
269 2008.25
269 2008.33333333333
261 2008.41666666667
249 2008.5
240 2008.58333333333
235 2008.66666666667
233 2008.75
235 2008.83333333333
241 2008.91666666667
267 2009
280 2009.08333333333
294 2009.16666666667
305 2009.25
317 2009.33333333333
326 2009.41666666667
